,message,label,player,special_token_message,match
1773,Gfg,,2,[Team0][Player2]: Gfg,23
1774,FG,,2,[Team0][Player2]: FG,23
1775,gF,,2,[Team0][Player2]: gF,23
1776,anciient mo?,,5,[Team1][Player0]: anciient mo?,23
1777,gF,,2,[Team0][Player2]: gF,23
1778,fF,,2,[Team0][Player2]: fF,23
1779,g,,2,[Team0][Player2]: g,23
1780,f,,2,[Team0][Player2]: f,23
1781,rmk,,3,[Team0][Player3]: rmk,36
1782,rmk?,,3,[Team0][Player3]: rmk?,36
1783,please,,3,[Team0][Player3]: please,36
1784,me and my team,,3,[Team0][Player3]: me and my team,36
1785,newbs,,3,[Team0][Player3]: newbs,36
1786,leave,,5,[Team1][Player0]: leave,36
1787,wtf,,1,[Team0][Player1]: wtf,36
1788,привет,,9,[Team1][Player4]: привет,36
1789,Wooo,,3,[Team0][Player3]: Wooo,36
1790,how did u type that,,3,[Team0][Player3]: how did u type that,36
1791,npnbet,,3,[Team0][Player3]: npnbet,36
1792,npubet,,5,[Team1][Player0]: npubet,36
1793,rmk,,3,[Team0][Player3]: rmk,36
1794,nosean rasistas con un arconte perros,,8,[Team1][Player3]: nosean rasistas con un arconte perros,49
1795,ptm me siento pequeño,,8,[Team1][Player3]: ptm me siento pequeño,49
1796,merecido,,2,[Team0][Player2]: merecido,49
1797,FEEDOU QUITOU,,2,[Team0][Player2]: FEEDOU QUITOU,49
1798,SK HC,,6,[Team1][Player1]: SK HC,49
1799,PLZ RAPORT,,6,[Team1][Player1]: PLZ RAPORT,49
1800,oleee,,8,[Team1][Player3]: oleee,49
1801,?,,0,[Team0][Player0]: ?,49
1802,??',,8,[Team1][Player3]: ??',49
1803,magnus,,8,[Team1][Player3]: magnus,49
1804,runnnnnnnnnnnnnn,,5,[Team1][Player0]: runnnnnnnnnnnnnn,49
1805,bichh,,5,[Team1][Player0]: bichh,49
1806,runnnnnnnn,,5,[Team1][Player0]: runnnnnnnn,49
1807,gg,,0,[Team0][Player0]: gg,49
1808,revenge time?,,5,[Team1][Player0]: revenge time?,26
1809,why not,,3,[Team0][Player3]: why not,26
1810,at least that voker isnt here,,7,[Team1][Player2]: at least that voker isnt here,26
1811,so i wont get as angry,,7,[Team1][Player2]: so i wont get as angry,26
1812,abandoning if thats fine guys?,,5,[Team1][Player0]: abandoning if thats fine guys?,26
1813,lol you desp want to win this one hahaha,,2,[Team0][Player2]: lol you desp want to win this one hahaha,26
1814,4 carries is a bit desparate,,4,[Team0][Player4]: 4 carries is a bit desparate,26
1815,w,,5,[Team1][Player0]: w,26
1816,nope,,3,[Team0][Player3]: nope,26
1817,t,,5,[Team1][Player0]: t,26
1818,f,,5,[Team1][Player0]: f,26
1819,lol,,2,[Team0][Player2]: lol,26
1820,i pick techies,,5,[Team1][Player0]: i pick techies,26
1821,i think im good,,5,[Team1][Player0]: i think im good,26
1822,x,,5,[Team1][Player0]: x,26
1823,X,,5,[Team1][Player0]: X,26
1824,XD,,5,[Team1][Player0]: XD,26
1825,lol,,2,[Team0][Player2]: lol,26
1826,wp,,2,[Team0][Player2]: wp,26
1827,whattattatatattata,,5,[Team1][Player0]: whattattatatattata,26
1828,ahh wow that makes sense,,2,[Team0][Player2]: ahh wow that makes sense,26
1829,yeah,,5,[Team1][Player0]: yeah,26
1830,LOL,,2,[Team0][Player2]: LOL,26
1831,ouch,,5,[Team1][Player0]: ouch,26
1832,fuck,,5,[Team1][Player0]: fuck,26
1833,lol,,1,[Team0][Player1]: lol,26
1834,lol,,6,[Team1][Player1]: lol,26
1835,techies u are actually a fucking poes,,5,[Team1][Player0]: techies u are actually a fucking poes,26
1836,haha,,2,[Team0][Player2]: haha,26
1837,irl,,7,[Team1][Player2]: irl,26
1838,like this game would of been done 20 years ago,,5,[Team1][Player0]: like this game would of been done 20 years ago,26
1839,but we cant fucking push high,,5,[Team1][Player0]: but we cant fucking push high,26
1840,such lies,,0,[Team0][Player0]: such lies,26
1841,yeah,,5,[Team1][Player0]: yeah,26
1842,ez,,5,[Team1][Player0]: ez,26
1843,lol we picked a techies to have fun sooo,,2,[Team0][Player2]: lol we picked a techies to have fun sooo,26
1844,nc gem,,3,[Team0][Player3]: nc gem,26
1845,wk,,3,[Team0][Player3]: wk,26
1846,<3,,3,[Team0][Player3]: <3,26
1847,gg wp,,6,[Team1][Player1]: gg wp,26
1848,gg,,1,[Team0][Player1]: gg,26
1849,lol gg,,2,[Team0][Player2]: lol gg,26
1850,wp guys,,1,[Team0][Player1]: wp guys,26
1851,wp pig,,2,[Team0][Player2]: wp pig,26
1852,was fun,,1,[Team0][Player1]: was fun,26
1853,gg wp,,4,[Team0][Player4]: gg wp,26
1854,gg,,7,[Team1][Player2]: gg,26
1855,why ban techies? :P,,7,[Team1][Player2]: why ban techies? :P,57
1856,i wanted to play it :D,,7,[Team1][Player2]: i wanted to play it :D,57
1857,meepo booster?,,8,[Team1][Player3]: meepo booster?,57
1858,nggk kok,,2,[Team0][Player2]: nggk kok,57
1859,cek profile,,2,[Team0][Player2]: cek profile,57
1860,ako noob,,2,[Team0][Player2]: ako noob,57
1861,ogay,,8,[Team1][Player3]: ogay,57
1862,gl,,2,[Team0][Player2]: gl,57
1863,ogay,,8,[Team1][Player3]: ogay,57
1864,best draft,,6,[Team1][Player1]: best draft,57
1865,haha,,6,[Team1][Player1]: haha,57
1866,400 xpm gpm,,2,[Team0][Player2]: 400 xpm gpm,57
1867,die amput,,2,[Team0][Player2]: die amput,57
1868,chat G ko a pyat tee lite p,,0,[Team0][Player0]: chat G ko a pyat tee lite p,57
1869,hah,,5,[Team1][Player0]: hah,57
1870,:),,5,[Team1][Player0]: :),57
1871,nhat chee pr htouk twar ml,,0,[Team0][Player0]: nhat chee pr htouk twar ml,57
1872,haha,,0,[Team0][Player0]: haha,57
1873,next time i will kill u,,5,[Team1][Player0]: next time i will kill u,57
1874,hahah,,5,[Team1][Player0]: hahah,57
1875,haha peace,,0,[Team0][Player0]: haha peace,57
1876,chat G yay,,0,[Team0][Player0]: chat G yay,57
1877,haha,,5,[Team1][Player0]: haha,57
1878,podge,,2,[Team0][Player2]: podge,57
1879,chat kyee thanks,,8,[Team1][Player3]: chat kyee thanks,57
1880,lol,,0,[Team0][Player0]: lol,57
1881,i'm not chat G,,0,[Team0][Player0]: i'm not chat G,57
1882,chat G is rubick,,0,[Team0][Player0]: chat G is rubick,57
1883,ngar kyi pal,,5,[Team1][Player0]: ngar kyi pal,57
1884,nice set invo,,4,[Team0][Player4]: nice set invo,57
1885,s,,9,[Team1][Player4]: s,57
1886,lol,,2,[Team0][Player2]: lol,57
1887,ggwp,,7,[Team1][Player2]: ggwp,57
1888,best draft?,,2,[Team0][Player2]: best draft?,57
1889,infucker?,,2,[Team0][Player2]: infucker?,57
1890,best draft for u noob,,6,[Team1][Player1]: best draft for u noob,57
1891,apaya,,2,[Team0][Player2]: apaya,57
1892,apanya,,2,[Team0][Player2]: apanya,57
1893,bad draft for dire,,6,[Team1][Player1]: bad draft for dire,57
1894,draft apa,,2,[Team0][Player2]: draft apa,57
1895,chat G yay,,0,[Team0][Player0]: chat G yay,57
1896,idiotfuck,,6,[Team1][Player1]: idiotfuck,57
1897,wp,,9,[Team1][Player4]: wp,57
1898,ok,,2,[Team0][Player2]: ok,57
1899,gg,,2,[Team0][Player2]: gg,57
1900,gg,,5,[Team1][Player0]: gg,57
1901,commend me,,4,[Team0][Player4]: commend me,57
1902,chat G yay,,0,[Team0][Player0]: chat G yay,57
1903,gg invo,,4,[Team0][Player4]: gg invo,57
1904,wait,,8,[Team1][Player3]: wait,5
1905,_,,5,[Team1][Player0]: _,5
1906,thats why you still in single draft,,2,[Team0][Player2]: thats why you still in single draft,5
1907,lol,,5,[Team1][Player0]: lol,5
1908,sure we are,,9,[Team1][Player4]: sure we are,5
1909,where is your disruptor>,,2,[Team0][Player2]: where is your disruptor>,5
1910,bad connection,,8,[Team1][Player3]: bad connection,5
1911,bad pc,,5,[Team1][Player0]: bad pc,5
1912,w,,5,[Team1][Player0]: w,5
1913,where is your friend?,,2,[Team0][Player2]: where is your friend?,5
1914,he is coming,,8,[Team1][Player3]: he is coming,5
1915,unpause,,2,[Team0][Player2]: unpause,5
1916,i dont have any friend,,9,[Team1][Player4]: i dont have any friend,5
1917,wtf,,0,[Team0][Player0]: wtf,5
1918,wtf,,2,[Team0][Player2]: wtf,5
1919,why,,2,[Team0][Player2]: why,5
1920,nice,,9,[Team1][Player4]: nice,5
1921,rat is real,,9,[Team1][Player4]: rat is real,5
1922,gg,,2,[Team0][Player2]: gg,5
1923,EZ,,5,[Team1][Player0]: EZ,5
1924,EZ,,5,[Team1][Player0]: EZ,5
1925,ez,,7,[Team1][Player2]: ez,5
1926,EZ,,5,[Team1][Player0]: EZ,5
1927,EZ,,5,[Team1][Player0]: EZ,5
1928,good game dude,,9,[Team1][Player4]: good game dude,5
1929,EZ,,5,[Team1][Player0]: EZ,5
1930,Pudge is not Pudge,,0,[Team0][Player0]: Pudge is not Pudge,77
1931,?,,7,[Team1][Player2]: ?,77
1932,gg,,5,[Team1][Player0]: gg,77
1933,fuck you,x,0,[Team0][Player0]: fuck you,77
1934,+1 void,,6,[Team1][Player1]: +1 void,77
1935,wait,,6,[Team1][Player1]: wait,77
1936,lol,,3,[Team0][Player3]: lol,77
1937,we do,,0,[Team0][Player0]: we do,77
1938,we wait,,0,[Team0][Player0]: we wait,77
1939,we are polite,,0,[Team0][Player0]: we are polite,77
1940,gg,,1,[Team0][Player1]: gg,77
1941,gg,,2,[Team0][Player2]: gg,77
1942,gege,,6,[Team1][Player1]: gege,77
1943,gg,,3,[Team0][Player3]: gg,77
1944,OMG,,7,[Team1][Player2]: OMG,10
1945,dogbrain is back,,7,[Team1][Player2]: dogbrain is back,10
1946,the tiny,,7,[Team1][Player2]: the tiny,10
1947,Hahahahahaha,,7,[Team1][Player2]: Hahahahahaha,10
1948,prince,,8,[Team1][Player3]: prince,10
1949,wa na jeth sa amo,,8,[Team1][Player3]: wa na jeth sa amo,10
1950,isaw that dp i laughed so hard,,7,[Team1][Player2]: isaw that dp i laughed so hard,10
1951,CDD,,8,[Team1][Player3]: CDD,10
1952,Ngano,,3,[Team0][Player3]: Ngano,10
1953,who r u,,0,[Team0][Player0]: who r u,10
1954,Easy to get ra kaayo sa voya,,8,[Team1][Player3]: Easy to get ra kaayo sa voya,10
1955,dogbrain is back,,7,[Team1][Player2]: dogbrain is back,10
1956,Kayat,,3,[Team0][Player3]: Kayat,10
1957,Gd,,3,[Team0][Player3]: Gd,10
1958,why change name?,,7,[Team1][Player2]: why change name?,10
1959,gi ingna ra nga naay allowance,,8,[Team1][Player3]: gi ingna ra nga naay allowance,10
1960,knsa imo ka storya,,9,[Team1][Player4]: knsa imo ka storya,10
1961,adto na sya,,8,[Team1][Player3]: adto na sya,10
1962,wahahaha,,3,[Team0][Player3]: wahahaha,10
1963,peata,,3,[Team0][Player3]: peata,10
1964,ha?,,9,[Team1][Player4]: ha?,10
1965,wa pa kbaw,,8,[Team1][Player3]: wa pa kbaw,10
1966,wa moy usa na ron?,,3,[Team0][Player3]: wa moy usa na ron?,10
1967,uu,,8,[Team1][Player3]: uu,10
1968,knsa imo ka storya oy,,9,[Team1][Player4]: knsa imo ka storya oy,10
1969,hawa goro ko ani,,8,[Team1][Player3]: hawa goro ko ani,10
1970,HAHAHA MUTED,,3,[Team0][Player3]: HAHAHA MUTED,10
1971,nmo choylloy?,,3,[Team0][Player3]: nmo choylloy?,10
1972,tskl tkskt sk,,3,[Team0][Player3]: tskl tkskt sk,10
1973,wa man,,8,[Team1][Player3]: wa man,10
1974,gi mute kas ako kauban,,3,[Team0][Player3]: gi mute kas ako kauban,10
1975,migo diay,,3,[Team0][Player3]: migo diay,10
1976,Xd,,3,[Team0][Player3]: Xd,10
1977,migo d i ta,,9,[Team1][Player4]: migo d i ta,10
1978,LLU,,3,[Team0][Player3]: LLU,10
1979,lover uys,,9,[Team1][Player4]: lover uys,10
1980,Pubg ta,,3,[Team0][Player3]: Pubg ta,10
1981,Cholyoy,,3,[Team0][Player3]: Cholyoy,10
1982,WHA?TY,,3,[Team0][Player3]: WHA?TY,10
1983,Waito,,7,[Team1][Player2]: Waito,10
1984,4 man,,8,[Team1][Player3]: 4 man,10
1985,end,,8,[Team1][Player3]: end,10
1986,yahayag life choyloy ah,,3,[Team0][Player3]: yahayag life choyloy ah,10
1987,syer ey,,9,[Team1][Player4]: syer ey,10
1988,0-3 gani,,9,[Team1][Player4]: 0-3 gani,10
1989,LEL,,8,[Team1][Player3]: LEL,10
1990,Qweqwe,,7,[Team1][Player2]: Qweqwe,10
1991,Qwe,,7,[Team1][Player2]: Qwe,10
1992,Im so confused,,3,[Team0][Player3]: Im so confused,10
1993,ya,,8,[Team1][Player3]: ya,10
1994,u ask help,,8,[Team1][Player3]: u ask help,10
1995,Ask what,,3,[Team0][Player3]: Ask what,10
1996,bokbokon tka run,,9,[Team1][Player4]: bokbokon tka run,10
1997,HAHAHAHAHAHA,,3,[Team0][Player3]: HAHAHAHAHAHA,10
1998,rofl,,9,[Team1][Player4]: rofl,10
1999,i love dota3,,9,[Team1][Player4]: i love dota3,10
2000,yuri,,3,[Team0][Player3]: yuri,10
2001,kinsay nawala,,3,[Team0][Player3]: kinsay nawala,10
2002,Sa voya diay,,3,[Team0][Player3]: Sa voya diay,10
2003,hoy,,3,[Team0][Player3]: hoy,10
2004,prince,,8,[Team1][Player3]: prince,10
2005,akin,,8,[Team1][Player3]: akin,10
2006,na,,8,[Team1][Player3]: na,10
2007,MMR,,8,[Team1][Player3]: MMR,10
2008,NAORT,,8,[Team1][Player3]: NAORT,10
2009,knsay nawa,,3,[Team0][Player3]: knsay nawa,10
2010,GAgow,,3,[Team0][Player3]: GAgow,10
2011,JETH,,8,[Team1][Player3]: JETH,10
2012,GANI,,8,[Team1][Player3]: GANI,10
2013,sa voya pa,,3,[Team0][Player3]: sa voya pa,10
2014,kinsay ni puli,,3,[Team0][Player3]: kinsay ni puli,10
2015,DOnt know,,8,[Team1][Player3]: DOnt know,10
2016,ingnang,,8,[Team1][Player3]: ingnang,10
2017,JETH,,8,[Team1][Player3]: JETH,10
2018,ge,,3,[Team0][Player3]: ge,10
2019,dota 2,,3,[Team0][Player3]: dota 2,10
2020,haitang choy da,,9,[Team1][Player4]: haitang choy da,10
2021,|gihatag mani ni jobb,,8,[Team1][Player3]: |gihatag mani ni jobb,10
2022,ning duwaa,,8,[Team1][Player3]: ning duwaa,10
2023,o,,8,[Team1][Player3]: o,10
2024,Ayay choyloy,,3,[Team0][Player3]: Ayay choyloy,10
2025,Gi blame ka,,3,[Team0][Player3]: Gi blame ka,10
2026,wa tawn,,8,[Team1][Player3]: wa tawn,10
2027,322,,8,[Team1][Player3]: 322,10
2028,hahaha,,9,[Team1][Player4]: hahaha,10
2029,MMR,,8,[Team1][Player3]: MMR,10
2030,Dot,,3,[Team0][Player3]: Dot,10
2031,Doita 2,,3,[Team0][Player3]: Doita 2,10
2032,timb,,8,[Team1][Player3]: timb,10
2033,What,,3,[Team0][Player3]: What,10
2034,hepl us,,8,[Team1][Player3]: hepl us,10
2035,ty,,8,[Team1][Player3]: ty,10
2036,WTF,,8,[Team1][Player3]: WTF,10
2037,ROFL,,3,[Team0][Player3]: ROFL,10
2038,ROFL,,3,[Team0][Player3]: ROFL,10
2039,GAME OF IDIOTS,x,7,[Team1][Player2]: GAME OF IDIOTS,10
2040,BOT,,3,[Team0][Player3]: BOT,10
2041,ggs,,3,[Team0][Player3]: ggs,10
2042,ganteng ganteng serigala?,,1,[Team0][Player1]: ganteng ganteng serigala?,10
2043,aline,,8,[Team1][Player3]: aline,10
2044,alien?,,8,[Team1][Player3]: alien?,10
2045,ggs?,,1,[Team0][Player1]: ggs?,10
2046,L U L,,1,[Team0][Player1]: L U L,10
2047,dafuq,,3,[Team0][Player3]: dafuq,10
2048,BYE,,8,[Team1][Player3]: BYE,10
2049,my tb always dying,,6,[Team1][Player1]: my tb always dying,10
2050,DOGS,,8,[Team1][Player3]: DOGS,10
2051,Dmd kaduha ni bfog,,3,[Team0][Player3]: Dmd kaduha ni bfog,10
2052,fog,,3,[Team0][Player3]: fog,10
2053,Ka,,3,[Team0][Player3]: Ka,10
2054,patay naman ta ka,,3,[Team0][Player3]: patay naman ta ka,10
2055,HAHAHAHA,,3,[Team0][Player3]: HAHAHAHA,10
2056,OH FUCK,,8,[Team1][Player3]: OH FUCK,10
2057,700,,8,[Team1][Player3]: 700,10
2058,tayag,,8,[Team1][Player3]: tayag,10
2059,throw ah,,8,[Team1][Player3]: throw ah,10
2060,GEGE,,8,[Team1][Player3]: GEGE,10
2061,Wew?,,3,[Team0][Player3]: Wew?,10
2062,hekhek,,9,[Team1][Player4]: hekhek,10
2063,gg,,3,[Team0][Player3]: gg,10
2064,Chaloooooooopi,,9,[Team1][Player4]: Chaloooooooopi,10
2065,g tagaan kag bonus game,,9,[Team1][Player4]: g tagaan kag bonus game,10
2066,tsk2,,9,[Team1][Player4]: tsk2,10
2067,teams so good,,3,[Team0][Player3]: teams so good,10
2068,god damn!,,3,[Team0][Player3]: god damn!,10
2069,HO FUCK,,8,[Team1][Player3]: HO FUCK,10
2070,GG,,8,[Team1][Player3]: GG,10
2071,Lol,,3,[Team0][Player3]: Lol,10
2072,TB NO BKB,,8,[Team1][Player3]: TB NO BKB,10
2073,END,,8,[Team1][Player3]: END,10
2074,L O L,,6,[Team1][Player1]: L O L,10
2075,gg chalooopi,,9,[Team1][Player4]: gg chalooopi,10
2076,miss oyu cohyloy,,3,[Team0][Player3]: miss oyu cohyloy,10
2077,TB,,8,[Team1][Player3]: TB,10
2078,GOD,,8,[Team1][Player3]: GOD,10
2079,anha ko manila,,3,[Team0][Player3]: anha ko manila,10
2080,nxty week,,3,[Team0][Player3]: nxty week,10
2081,nice,,9,[Team1][Player4]: nice,10
2082,GE,,8,[Team1][Player3]: GE,10
2083,ANHA SAD KO,,8,[Team1][Player3]: ANHA SAD KO,10
2084,kita lang ta TI,,9,[Team1][Player4]: kita lang ta TI,10
2085,:D,,9,[Team1][Player4]: :D,10
2086,XD,,3,[Team0][Player3]: XD,10
2087,TB GOD,,8,[Team1][Player3]: TB GOD,10
2088,fuck this bh,,2,[Team0][Player2]: fuck this bh,10
2089,kill me,,2,[Team0][Player2]: kill me,10
2090,gege,,9,[Team1][Player4]: gege,10
2091,what is my team,,3,[Team0][Player3]: what is my team,10
2092,DOing,,3,[Team0][Player3]: DOing,10
2093,hoenstly,,3,[Team0][Player3]: hoenstly,10
2094,xd,,9,[Team1][Player4]: xd,10
2095,what bracket,,3,[Team0][Player3]: what bracket,10
2096,IS tihs,,3,[Team0][Player3]: IS tihs,10
2097,carry u?,,8,[Team1][Player3]: carry u?,10
2098,HOyl shit,,3,[Team0][Player3]: HOyl shit,10
2099,carry u?,,8,[Team1][Player3]: carry u?,10
2100,?,,3,[Team0][Player3]: ?,10
2101,you suck,x,3,[Team0][Player3]: you suck,10
2102,balls,,3,[Team0][Player3]: balls,10
2103,dumb fuck,,3,[Team0][Player3]: dumb fuck,10
2104,LEL,,8,[Team1][Player3]: LEL,10
2105,chaloopa,,8,[Team1][Player3]: chaloopa,10
2106,Find me 24/7,,3,[Team0][Player3]: Find me 24/7,10
2107,suck my dick,x,3,[Team0][Player3]: suck my dick,10
2108,if oyu can,,3,[Team0][Player3]: if oyu can,10
2109,hahaha,,8,[Team1][Player3]: hahaha,10
2110,,,8,[Team1][Player3]: ,10
2111,XD,,3,[Team0][Player3]: XD,10
2112,awa ra,,3,[Team0][Player3]: awa ra,10
2113,MAN,,3,[Team0][Player3]: MAN,10
2114,I WANNA PLAY,,3,[Team0][Player3]: I WANNA PLAY,10
2115,PUBG,,3,[Team0][Player3]: PUBG,10
2116,STOP TRYING,,3,[Team0][Player3]: STOP TRYING,10
2117,IDGAF?,,8,[Team1][Player3]: IDGAF?,10
2118,You FUCkign MORONS,x,3,[Team0][Player3]: You FUCkign MORONS,10
2119,Wtf,,1,[Team0][Player1]: Wtf,10
2120,END,,8,[Team1][Player3]: END,10
2121,NOW,,8,[Team1][Player3]: NOW,10
2122,FSAT,,8,[Team1][Player3]: FSAT,10
2123,pakatangang dota,,6,[Team1][Player1]: pakatangang dota,10
2124,FUCKING,,8,[Team1][Player3]: FUCKING,10
2125,dota 3,,8,[Team1][Player3]: dota 3,10
2126,Dota 5,,8,[Team1][Player3]: Dota 5,10
2127,dota 4,,8,[Team1][Player3]: dota 4,10
2128,DOGS,,8,[Team1][Player3]: DOGS,10
2129,TB,,8,[Team1][Player3]: TB,10
2130,nxt ysar,,8,[Team1][Player3]: nxt ysar,10
2131,Ez,,1,[Team0][Player1]: Ez,10
2132,Buy bkb,,8,[Team1][Player3]: Buy bkb,10
2133,TN legit,,6,[Team1][Player1]: TN legit,10
2134,TB,,6,[Team1][Player1]: TB,10
2135,legit,,6,[Team1][Player1]: legit,10
2136,Player,,6,[Team1][Player1]: Player,10
2137,EZ MID,,8,[Team1][Player3]: EZ MID,10
2138,EZ,,1,[Team0][Player1]: EZ,10
2139,youre al ldumb,x,3,[Team0][Player3]: youre al ldumb,10
2140,except,,3,[Team0][Player3]: except,10
2141,brown,,3,[Team0][Player3]: brown,10
2142,tangina mo mamatay kana,,6,[Team1][Player1]: tangina mo mamatay kana,10
2143,BTW,,8,[Team1][Player3]: BTW,10
2144,Ty,,3,[Team0][Player3]: Ty,10
2145,EZ MID,,8,[Team1][Player3]: EZ MID,10
2146,?,,3,[Team0][Player3]: ?,10
2147,LUL,,3,[Team0][Player3]: LUL,10
2148,rubick god,,2,[Team0][Player2]: rubick god,10
2149,guys,,5,[Team1][Player0]: guys,72
2150,r u stupid ?,,5,[Team1][Player0]: r u stupid ?,72
2151,why the fuck u focus tanky,,5,[Team1][Player0]: why the fuck u focus tanky,72
2152,since when are u tanky rofl,,2,[Team0][Player2]: since when are u tanky rofl,72
2153,ok,,5,[Team1][Player0]: ok,72
2154,try to kill me solo,,5,[Team1][Player0]: try to kill me solo,72
2155,rofl,,2,[Team0][Player2]: rofl,72
2156,will see,,5,[Team1][Player0]: will see,72
2157,gee gee,,6,[Team1][Player1]: gee gee,72
2158,ggwp,,0,[Team0][Player0]: ggwp,72
2159,having a mega fun time?,,6,[Team1][Player1]: having a mega fun time?,72
2160,super phun,,2,[Team0][Player2]: super phun,72
2161,enjoying wasting time,,5,[Team1][Player0]: enjoying wasting time,72
2162,Gege,,2,[Team0][Player2]: Gege,72
2163,gee gee,,6,[Team1][Player1]: gee gee,72
2164,Red Hot Chili Peppers - Scar Tissue [Official Music Video],,0,[Team0][Player0]: Red Hot Chili Peppers - Scar Tissue [Official Music Video],17
2165,???,,2,[Team0][Player2]: ???,17
2166,XD,,2,[Team0][Player2]: XD,17
2167,jajajjajajajajajajaj,,2,[Team0][Player2]: jajajjajajajajajajaj,17
2168,igual  van a perder,,2,[Team0][Player2]: igual  van a perder,17
2169,jajjajajajajaja,,2,[Team0][Player2]: jajjajajajajaja,17
2170,.i.,,0,[Team0][Player0]: .i.,17
2171,report sniper,,6,[Team1][Player1]: report sniper,17
2172,jajajaja,,2,[Team0][Player2]: jajajaja,17
2173,estos perros me aman,,2,[Team0][Player2]: estos perros me aman,17
2174,por que ese sniper no tienen items??,,2,[Team0][Player2]: por que ese sniper no tienen items??,17
2175,xddd,,0,[Team0][Player0]: xddd,17
2176,xd,,0,[Team0][Player0]: xd,17
2177,xd,,0,[Team0][Player0]: xd,17
2178,xd,,0,[Team0][Player0]: xd,17
2179,xd,,0,[Team0][Player0]: xd,17
2180,pega nois comedia,,8,[Team1][Player3]: pega nois comedia,17
2181,jkkhhkhjj,,7,[Team1][Player2]: jkkhhkhjj,17
2182,jajaja,,2,[Team0][Player2]: jajaja,17
2183,siempre me matan de a dos,,2,[Team0][Player2]: siempre me matan de a dos,17
2184,????,,2,[Team0][Player2]: ????,17
2185,3,,2,[Team0][Player2]: 3,17
2186,jajajja,,2,[Team0][Player2]: jajajja,17
2187,visão de game te falta,,8,[Team1][Player3]: visão de game te falta,17
2188,sniper??,,2,[Team0][Player2]: sniper??,17
2189,I NEED RAMPAGE,,7,[Team1][Player2]: I NEED RAMPAGE,17
2190,NICE MAN,,7,[Team1][Player2]: NICE MAN,17
2191,bkb y ulti para eso??,,2,[Team0][Player2]: bkb y ulti para eso??,17
2192,nice counter picks,,6,[Team1][Player1]: nice counter picks,83
2193,ez,,6,[Team1][Player1]: ez,83
2194,lol,,7,[Team1][Player2]: lol,83
2195,XD,,6,[Team1][Player1]: XD,83
2196,lol,,7,[Team1][Player2]: lol,83
2197,xd,,6,[Team1][Player1]: xd,83
2198,lol,,8,[Team1][Player3]: lol,83
2199,end pleaase,,4,[Team0][Player4]: end pleaase,83
2200,look at our safelane luna,,2,[Team0][Player2]: look at our safelane luna,83
2201,gggwp,,6,[Team1][Player1]: gggwp,83
2202,ez trilane,,6,[Team1][Player1]: ez trilane,83
2203,EZ,,9,[Team1][Player4]: EZ,83
2204,ez,,7,[Team1][Player2]: ez,83
2205,"GEWSRfdhgj,k",,9,"[Team1][Player4]: GEWSRfdhgj,k",22
2206,АХАХХАХА,,2,[Team0][Player2]: АХАХХАХА,22
2207,а ты не плох,,2,[Team0][Player2]: а ты не плох,22
2208,ТЕРРОР,,0,[Team0][Player0]: ТЕРРОР,22
2209,КАК ПОФАРМИЛ?,,0,[Team0][Player0]: КАК ПОФАРМИЛ?,22
2210,СОВСЕМ ИЗИ(,,0,[Team0][Player0]: СОВСЕМ ИЗИ(,22
2211,что у тебя в голове происходит когда ты решаешь высрать это в чат,,7,[Team1][Player2]: что у тебя в голове происходит когда ты решаешь высрать это в чат,22
2212,просто хз,,7,[Team1][Player2]: просто хз,22
2213,смотри на гавно,,0,[Team0][Player0]: смотри на гавно,22
2214,ты этого достоин,,0,[Team0][Player0]: ты этого достоин,22
2215,ну вот смотрю на тебя как ты тут выераешься,,7,[Team1][Player2]: ну вот смотрю на тебя как ты тут выераешься,22
2216,ты говно),,7,[Team1][Player2]: ты говно),22
2217,ахах,,0,[Team0][Player0]: ахах,22
2218,выебал вас,x,0,[Team0][Player0]: выебал вас,22
2219,а я твою мать))0,,7,[Team1][Player2]: а я твою мать))0,22
2220,в школу тебе не пора там?,,0,[Team0][Player0]: в школу тебе не пора там?,22
2221,нет,,7,[Team1][Player2]: нет,22
2222,он в школу пошел,,2,[Team0][Player2]: он в школу пошел,22
2223,always carry gem with a riki :D,,9,[Team1][Player4]: always carry gem with a riki :D,61
2224,gg,,9,[Team1][Player4]: gg,61
2225,gg chen,,7,[Team1][Player2]: gg chen,61
2226,good combo,,7,[Team1][Player2]: good combo,61
2227,"that combo, while annoying, has proven ineffective twice",,6,"[Team1][Player1]: that combo, while annoying, has proven ineffective twice",61
2228,sec mouse cdeda,,1,[Team0][Player1]: sec mouse cdeda,32
2229,dead,,1,[Team0][Player1]: dead,32
2230,who uses wireless mouse in 2018,,9,[Team1][Player4]: who uses wireless mouse in 2018,32
2231,when playing an online game,,9,[Team1][Player4]: when playing an online game,32
2232,true that,,6,[Team1][Player1]: true that,32
2233,you dont deserve a pause actually,,9,[Team1][Player4]: you dont deserve a pause actually,32
2234,rdy thx,,1,[Team0][Player1]: rdy thx,32
2235,,,3,[Team0][Player3]: ,32
2236,arnt those pretty great nowadays,,5,[Team1][Player0]: arnt those pretty great nowadays,32
2237,they are good shit but batter is the problem,,1,[Team0][Player1]: they are good shit but batter is the problem,32
2238,what now?,,6,[Team1][Player1]: what now?,32
2239,penis,,3,[Team0][Player3]: penis,32
2240,his i3 died?,,6,[Team1][Player1]: his i3 died?,32
2241,,,9,[Team1][Player4]: ,32
